Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
ROM	front	intro	gtn1			0		"# रोमियों का परिचय<br>## भाग 1: सामान्य परिचय <br><br>#### रोमियों की पुस्तक की रूपरेखा<br><br>1. परिचय (1:1-15)<br>1। यीशु मसीह में विश्वास द्वारा धार्मिकता (1:16-17)<br>1। पाप के कारण सारी मानवजाति को दण्डित किया गया है (1:18-3:20)<br>1। यीशु मसीह पर विश्वास करने के द्वारा धार्मिकता (3:21-4:25)<br>1। आत्मा के फल (5:1-11)<br>1। आदम और मसीह की तुलना (5:12-21)<br>1। इस जीवन में मसीह के समान बनना (6:1-8:39)<br>1। इस्राएल के लिए परमेश्वर की योजना (9:1-11:36)<br>1। मसीहियों के समान जीवन बिताने के लिए व्यवहारिक सलाह (12:1-15:13)<br> 1। निष्कर्ष और अभिवादन (15:14-16:27)<br><br>#### रोमियों की पुस्तक को किसने लिखा?<br><br>प्रेरित पौलुस ने रोमियों की पुस्तक को लिखा। पौलुस तरसुस शहर का रहने वाला था। वह अपने प्रारंभिक जीवन में शाऊल के नाम से जाना जाता था। मसीही बनने से पहले, पौलुस एक फरीसी था। उसने मसीहियों को सताया था। मसीही बनने के बाद, उसने पूरे रोमी साम्राज्य में लोगों को यीशु के बारे में प्रचार करते हुए कई बार यात्राएँ कीं। <br><br> पौलुस ने संभवतः यह पत्र तब लिखा था, जब वह रोमी साम्राज्य के माध्यम से अपनी तीसरी यात्रा के दौरान कुरिन्थ शहर में रुका था। <br><br> #### रोमियों की पुस्तक का विषय क्या है? <br><br> पौलुस ने रोम में रहने वाले मसीहियों को यह पत्र लिखा था। पौलुस चाहता था कि जब वह उनसे मिलने जाए, तो वे उसे ग्रहण करने के लिए तैयार रहें। उसने कहा कि उसका उद्देश्य ""विश्वास से मानने वाले होना"" था (16:26)। <br><br> इस पत्र में पौलुस ने सबसे अधिक यीशु मसीह के सुसमाचार का वर्णन किया है। उसने समझाया कि यहूदियों और गैर-यहूदियों दोनों ने पाप किया है, और परमेश्वर उन्हें माफ कर देंगे और उन्हें धार्मिक घोषित करेंगे जब वे यीशु पर विश्वास करेंगे (अध्याय 1-11)। तब उसने उन्हें इस बात के लिए व्यवहारिक सलाह दी कि विश्वासियों को कैसे जीवन जीना चाहिए (अध्याय 12-16), <br><br>#### इस पुस्तक के शीर्षक का अनुवाद कैसे किया जाना चाहिए?<br><br> अनुवादक इसके पारंपरिक शीर्षक ""रोमियों"" से इस पुस्तक को पुकारना चुन सकते हैं। या वे एक स्पष्ट शीर्षक चुन सकते हैं, जैसे ""रोम की कलीसिया को पौलुस का पत्र,"" या ""रोम में रहने वाले मसीहियों को एक पत्र।"" (देखें: [[rc://en/ta/man/translate/translate-names]]) <br><br> ## भाग 2: महत्वपूर्ण धार्मिक और सांस्कृतिक अवधारणाएँ <br><br>#### यीशु को संदर्भित करने के लिए किन शीर्षकों का उपयोग किया गया है? <br><br><br> रोमियों में, पौलुस ने कई उपाधियों और विवरणों द्वारा यीशु मसीह का वर्णन किया है: यीशु मसीह (1:1), दाऊद का वंश (1:3), परमेश्वर का पुत्र (1:4), प्रभु यीशु मसीह (1:7), मसीह यीशु (3:24), प्रायश्चित (3:25), यीशु (3:26), यीशु हमारा प्रभु (4:24), सेनाओं का प्रभु (9:29), ठेस लगने का पत्थर और ठोकर खाने की चट्टान (9:33), व्यवस्था का अंत (10:4), छुड़ानेवाला (11:26), मृतकों और जीवितों का प्रभु (14:9) और यिशै की जड़ (15:12)।<br><br>#### रोमियों में धर्मशास्त्रीय शब्दों का अनुवाद कैसे किया जाना चाहिए?<br><br>पौलुस ऐसे कई धर्मशास्त्रीय शब्दों को उपयोग करता है जो चार सुसमाचारों में उपयोग नहीं किए गए हैं। शुरूआती मसीहियों ने जैसे-जैसे यीशु मसीह और उसके संदेश के अर्थ के बारे में अधिक सीखा, उन्हें नए विचारों के लिए शब्दों और अभिव्यक्तियों की आवश्यकता थी। इन शब्दों के कुछ उदाहरण हैं: ""धर्मी ठहरना"" (5:1), ""व्यवस्था के काम"" (3:20), ""मेल"" (5:10), ""प्रायश्चित"" (3:25), ""पवित्रता"" (6:19), और ""पुराना मनुष्यत्व"" (6:6)। <br><br> ""प्रमुख शब्द"" शब्दकोश अनुवादकों को इनमें से कई शब्दों को समझने में मदद कर सकता है। (देखें: [[rc://en/ta/man/translate/figs-abstractnouns]])<br><br>जैसे कि ऊपर दिए गए शब्दों को समझाना मुश्किल है। अनुवादकों के लिए अपनी भाषाओं में समान शब्दों को खोजना अक्सर कठिन या असंभव होता है। यह जान लेना सहायक हो सकता है कि इन शब्दों के समकक्ष शब्द आवश्यक नहीं हैं। इसके बजाए, अनुवादक इन विचारों को समझाने के लिए संक्षिप्त अभिव्यक्तयों को विकसित कर सकते हैं। उदाहरण के लिए, ""सुसमाचार"" शब्द का अनुवाद ""यीशु मसीह के बारे में सुसमाचार"" के रूप में किया जा सकता है। <br><br> अनुवादकों को यह भी याद रखना चाहिए कि इनमें से कुछ शब्दों के एक से अधिक अर्थ हैं। वह अर्थ इस बात पर निर्भर करेगा कि लेखक उस विशेष वाक्यांश में उस शब्द का उपयोग कैसे कर रहा है। उदाहरण के लिए, ""धार्मिकता"" का अर्थ कभी-कभी यह होता है कि एक व्यक्ति परमेश्वर की व्यवस्था का पालन करता है। अन्य समय में, ""धार्मिकता"" का अर्थ है कि यीशु मसीह ने हमारे लिए परमेश्वर की व्यवस्था का पूरी तरह से पालन किया है। <br><br>##### इस्राएल के ""कुछ लोग बाकी"" से पौलुस का क्या अर्थ था? (11:5) <br><br> कुछ ""लोग बाकी"" का विचार पुराने नियम में और पौलुस के लिए दोनों महत्वपूर्ण है। बहुत सारे इस्राएली या तो मारे गए थे या अन्य लोगों के बीच तितर-बितर हो गए थे जब अश्शूरियों ने और फिर बाबेलियों ने उनके देश को जीत लिए थे। केवल कुछ ही यहूदी बचे थे। उन्हें ""बचे हुओं"" के रूप में जाना जाता था।<br><br> पौलुस 11:1-9 में कुछ अन्य बचे हुओं की बात करता है। यह बचे हुए वे यहूदी हैं जिन्हें परमेश्वर ने इसलिए बचाया क्योंकि उन्होंने यीशु पर विश्वास किया था। (देखें: [[rc://en/tw/dict/bible/kt/remnant]])<br><br>## भाग 3: महत्वपूर्ण अनुवाद के मुद्दे <br><br>##### ""मसीह में"" होने से पौलुस का क्या अर्थ था?<br><br> यह ""मसीह में"" वाक्यांश और इसी तरह के वाक्यांश 3:24; 6:11, 23; 8:1,2,39; 9:1; 12:5,17; 15:17; और 16:3,7,9,10 में आते हैं। पौलुस ने इस प्रकार के वाक्यांशों का इस्तेमाल एक रूपक के रूप में यह व्यक्त करने के लिए किया कि मसीही विश्वासी यीशु मसीह के हैं। मसीह का होने का अर्थ है कि वह विश्वासी बचा लिया गया है और उसे परमेश्वर के साथ एक दोस्त बना दिया गया है। विश्वासी ने भी हमेशा परमेश्वर के साथ रहने का प्रतिज्ञा किया है। हालाँकि, इस विचार को कई भाषाओं में दर्शाना मुश्किल हो सकता है। <br><br> इन वाक्यांशों के भी विशिष्ट अर्थ हैं जो इस बात पर निर्भर करते हैं कि पौलुस ने उन्हें एक विशेष वाक्यांश में कैसे उपयोग किया है। उदाहरण के लिए, 3:24 में (""उस छुटकारे से जो मसीह यीशु में है""), पौलुस ने यीशु मसीह के ""कारण"" हमारे छुड़ाए जाने को संदर्भित किया है। 8:9 में (""तो तुम शारीरिक दशा में नहीं, परन्तु आत्मिक दशा में हो""), पौलुस ने विश्वासियों के ""पवित्र आत्मा"" के अधीन होने की बात कही है। 9: 1 में (""मैं मसीह में सच कहता हूँ""), पौलुस का अर्थ था कि वह उस सच्चाई को बता रहा है जो यीशु मसीह ""के साथ समझौते में है"" । <br><br> फिर भी, यीशु मसीह के साथ (और पवित्र आत्मा के साथ) हमारे एकजुट होने के मूल विचार को इन वाक्यांशों में भी देखा गया है। इसलिए, अनुवादक के पास कई वाक्यांशों में एक विकल्प है जो ""में"" का उपयोग करते है। वह ""में"" के अधिक तत्काल अर्थ का प्रतिनिधित्व करने के लिए अक्सर ""के बारे में,"" ""के माध्यम से,"" ""के तरीके से,"" या ""के संदर्भ में"" जैसों का निर्णय करेगा। लेकिन, यदि संभव हो तो, अनुवादक को एक शब्द या वाक्यांश चुनना चाहिए जो तत्काल अर्थ और ""के साथ मिलकर"" की भावना को दोहराता है। (देखें: [[rc://en/tw/dict/bible/kt/inchrist]])<br><br>#### यूएलटी के रोमियों में ""पवित्र,"" ""संतों"" या ""पवित्र जन"", और ""शुद्ध"" के विचारों का प्रतिनिधित्व कैसे किया गया है?<br><br> पवित्र-शास्त्र विभिन्न विचारों के किसी भी व्यक्ति की ओर संकेत करने के लिए ऐसे शब्दों का उपयोग करता है। इस कारण से, अनुवादकों के लिए अक्सर उनके संस्करणों में उनको अच्छी तरह से दर्शाना मुश्किल होता है। अंग्रेजी में अनुवाद करने में, यूएलटी निम्नलिखित सिद्धांतों का उपयोग करता है:<br>* कभी-कभी एक वाक्यांश का अर्थ नैतिक पवित्रता का स्पष्ट करता है। सुसमाचार को समझने के लिए विशेष रूप से महत्वपूर्ण तथ्य यह है कि परमेश्वर मसीहियों को पापहीन इसलिए मानते हैं क्योंकि वे यीशु मसीह के साथ एकजुट हैं। एक और संबंधित तथ्य यह है कि परमेश्वर परिपूर्ण और दोष-रहित है। एक तीसरा तथ्य यह है कि मसीहियों को जीवन में एक निर्दोष और दोषरहित तरीके से आचरण करना होता है। इन मामलों में, यूएलटी ""पवित्र,"" ""पवित्र परमेश्वर,"" ""पवित्र जनों"" या ""पवित्र लोगों"" का उपयोग करता है। (देखें: 1:7) <br>* कभी-कभी एक अनुच्छेद का अर्थ मसीहियों के उनके द्वारा भरी गई किसी विशेष भूमिका के बिना एक सरल संदर्भ की ओर संकेत करता है। ऐसे मामलों में जहाँ कुछ अन्य अंग्रेजी संस्करणों में ""संत"" या ""पवित्र व्यक्ति"" होते हैं, यूएलटी ""विश्वासियों"" का उपयोग करता है। (देखें: 8:27; 12:13; 15:25, 26, 31; 16:2, 15) <br>* कभी-कभी एक अनुच्छेद का अर्थ किसी व्यक्ति या किसी चीज के एकमात्र परमेश्वर से करने के विचार की ओर संकेत करता है। इन मामलों में, यूएलटी ""अलग करना,"" ""के लिए समर्पित,"" ""पवित्र किया हुआ,"" या ""के लिए संरक्षित"" का उपयोग करता है। (देखें: 15:16)<br><br> अक्सर यूएसटी सहायक होगी जब अनुवादक इस बारे में सोचते हैं कि इन विचारों को अपने संस्करणों में कैसे प्रस्तुत किया जाए। <br><br>#### रोमियों की पुस्तक के पाठ में प्रमुख मुद्दे क्या हैं?<br><br>निम्नलिखित पदों में बाइबल का आधुनिक संस्करण पुराने संस्करणों से भिन्न है। यूएलटी आधुनिक पठन को शामिल करता है और पुराने पठन को एक पाद-टिप्पणी में रखता है। <br><br>* ""वह [परमेश्वर] सब बातों को मिला कर भलाई को उत्पन्न करता है"" (8:28)। कुछ पुराने संस्करण लिखते हैं, ""सब बातें मिलकर भलाई को उत्पन्न करती हैं।""<br>* ""यदि यह अनुग्रह से हुआ है, तो फिर कर्मों से नहीं, नहीं तो अनुग्रह फिर अनुग्रह नहीं रहा” (11:6)। कुछ पुराने संस्करण लिखते हैं: ""यदि यह कर्मों से हुआ है, तो फिर यह अधिक अनुग्रह नहीं है: अन्यथा काम फिर काम नहीं है।"" <br><br> निम्नलिखित पद बाइबल की सर्वश्रेष्ठ प्राचीन प्रतियों में नहीं है। अनुवादकों को सलाह दी गई है कि वे इस पद को शामिल न करें। हालाँकि, यदि अनुवादकों के क्षेत्र में पुराने बाइबल संस्करण हैं, जिनमें यह पद है, तो अनुवादक इसे शामिल कर सकते हैं। यदि इसका अनुवाद किया जाता है, तो यह दर्शाने के लिए इसे वर्ग कोष्ठक ([]) के अंदर रखा जाना चाहिए कि यह शायद रोमियों की पुस्तक का मूल नहीं है। <br><br> * ""हमारे प्रभु यीशु मसीह का अनुग्रह तुम पर होता रहे। आमीन ""(16:24)। <br><br> (देखें: [[rc://en/ta/man/translate/translate-textvariants]]) <br>"
ROM	1	intro	hn5n			0		"# रोमियों 01 सामान्य टिप्पणियाँ<br>#### संरचना एवं स्वरूपण<br><br>पहला पद एक प्रकार का परिचय है। प्राचीन भूमध्यसागर क्षेत्र के लोग अक्सर अपने पत्र की शुरूआत इसी प्रकार से करते थे। कभी-कभी इसे ""अभिवादन"" कहा जाता है। <br><br> #### इस अध्याय में विशेष अवधारणाएँ <br><br>##### सुसमाचार<br>यह अध्याय रोमियों की पुस्तक के पाठ को ""सुसमाचार"" के रूप में संदर्भित करता है ([रोमियों 1:2](../../rom/01/02.md))। मत्ती, मरकुस, लूका और यूहन्ना के समान रोमियों एक सुसमाचार नहीं है। इसके बजाए, अध्याय 1-8 बाइबल आधारित सुसमाचार को प्रस्तुत करता है: सबने पाप किया है। यीशु हमारे पापों के लिए मर गया। वह फिर से जी उठा था कि हम उसमें नया जीवन पा सकें।<br><br>#####फल <br> यह अध्याय फल की कल्पना का उपयोग करता है। फलों की छवि आमतौर पर एक व्यक्ति के विश्वास को संदर्भित करती है जो उनके जीवन में अच्छे काम कर रहा है। इस अध्याय में, यह रोमी मसीहियों के बीच पौलुस के काम के परिणामों को संदर्भित करता है। (देखें: [[rc://en/tw/dict/bible/other/fruit]] और [[rc://en/tw/dict/bible/kt/faith]] और [[rc://en/tw/dict/bible/kt/righteous]])<br><br>##### सार्वभौमिक दण्ड और परमेश्वर का क्रोध<br>यह अध्याय बताता है कि हर कोई बिना किसी बहाने के है। हम सभी अपने सच्चे परमेश्वर, यहोवा, के बारे उसके द्वारा हमारे चारों ओर की गई सृष्टि के द्वारा जानते हैं। हमारे पाप और हमारे पापी स्वभाव के कारण, न्यायिक रूप से हर व्यक्ति परमेश्वर के क्रोध के योग्य है। यह क्रोध क्रूस पर मर कर यीशु द्वारा उनके लिए शांत किया गया जो उस पर विश्वास करते हैं। (देखें: [[rc://en/tw/dict/bible/kt/believe]] और [[rc://en/tw/dict/bible/kt/sin]])<br><br>#### इस अध्याय के महत्वपूर्ण अलंकार<br><br>##### ""परमेश्वर ने उन्हें"" <br> कई विद्वान ""परमेश्वर ने उन्हें दिया"" और ""परमेश्वर ने उन्हें छोड़ दिया"" वाक्यांशों को धार्मिक रूप से महत्वपूर्ण के रूप में देखते हैं। इस कारण से, इन वाक्यांशों को परमेश्वर के क्रिया में निष्क्रिय भूमिका निभाते हुए अनुवाद करना महत्वपूर्ण है। परमेश्वर सिर्फ मनुष्यों को उनकी इच्छाओं का पीछा करने की अनुमति देता है, वह उन्हें मजबूर नहीं करता है। (देखें: [[rc://en/ta/man/translate/figs-activepassive]])<br><br>#### इस अध्याय में अन्य संभावित अनुवाद की कठिनाइयाँ<br><br>##### मुश्किल वाक्यांश और अवधारणाएँ<br><br>इस अध्याय में कई कठिन विचार हैं। जिस तरीके से पौलुस लिखता है वह इस अध्याय के कई वाक्यांशों का अनुवाद करना मुश्किल कर देता है। वाक्यांशों के अर्थ को समझने के लिए अनुवादक को यूएसटी का उपयोग करने की आवश्यकता हो सकती है। और इन वाक्यांशों का अधिक स्वतंत्र रूप से अनुवाद करना आवश्यक हो सकता है। कुछ कठिन वाक्यांशों में शामिल हैं: ""विश्वास करके आज्ञा मानी,"" ""जिसकी मैं अपनी आत्मा में सेवा करता हूँ,"" ""विश्वास से विश्वास तक"" और ""अविनाशी परमेश्वर की महिमा को नाशवान मनुष्य की समानता में बदल डाला।""<br>"
ROM	1	1	x3em	figs-explicit		0	Paul	"आपकी भाषा में एक पत्र के लेखक का परिचय देने का एक विशेष तरीका हो सकता है। आपको इस पद में यह बताने की आवश्यकता भी हो सकती है कि वे लोग कौन हैं जिन्हें पौलुस ने पत्र लिखा था ([रोमियों 1:7](./07.md))। वैकल्पिक अनुवाद: ""मैं, पौलुस, ने यह पत्र लिखा है"" (देखें: [[rc://en/ta/man/translate/figs-explicit]])"
ROM	1	1	v5b9	figs-activepassive		0	called to be an apostle and set apart for the gospel of God	"आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""परमेश्वर ने मुझे प्रेरित कहा और मुझे मनुष्यों को सुसमाचार के बारे में बताने के लिए चुना"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])"
ROM	1	1	sg88			0	called	इसका अर्थ है कि परमेश्वर ने मनुष्यों को अपनी संतान होने के लिए, उसके सेवक बनने के लिए और यीशु से उद्धार के संदेश का प्रचार के लिए नियुक्त किया है या चुना है।
ROM	1	2	r5x7			0	which he promised beforehand by his prophets in the holy scriptures	परमेश्वर ने अपने लोगों से प्रतिज्ञा की कि वह अपना राज्य स्थापित करेगा। उसने भविष्यवक्ताओं को शास्त्रों में इन वचनों को लिखने के लिए कहा।
ROM	1	3	lab1			0	concerning his Son	"यह ""परमेश्वर के सुसमाचार"" को संदर्भित करता है, वह सुसमाचार जिसमें परमेश्वर ने अपने पुत्र को जगत में भेजने की प्रतिज्ञा किया था।"
ROM	1	3	lk5q	guidelines-sonofgodprinciples		0	Son	यह परमेश्वर के पुत्र यीशु के लिए एक महत्वपूर्ण उपाधि है। (देखें: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])
ROM	1	3	rj9f	figs-explicit		0	who was a descendant of David according to the flesh	"यहाँ ""देह"" शब्द शारीरिक देह को संदर्भित करता है। वैकल्पिक अनुवाद: ""जो शारीरिक रीति के अनुसार दाऊद का वंशज है"" या ""जो दाऊद के परिवार में पैदा हुआ था"" (देखें: [[rc://en/ta/man/translate/figs-explicit]])"
ROM	1	4	z3yq			0	Connecting Statement:	पौलुस यहाँ प्रचार करने के अपने दायित्व के बारे में बात करता है।
